Source_Region,Target_Province,Cases (O),Cases per million (O),GDP per capita (O),GDP per capita (D),Pop density (O),Pop density (D),Age upper 65 (O),Age upper 65 (D),Temperature (O),Humidity (O),International travel,Imports
Australia,Heilongjiang,0.11281820133909944,0.6681393654073763,0.769957611499269,0.09405588934560798,0.0,1.0,0.5515111490948644,0.3294361304115446,0.15394604625304512,0.8414099860552876,0.5776476169344901,2.0
Japan,Heilongjiang,0.32680402451239104,0.4087422084270445,0.5493181461818653,0.09405588934560798,0.5859665317401135,1.0,1.0,0.3294361304115446,0.15394604625304512,0.8414099860552876,0.7764953247492753,3.0
Singapore,Heilongjiang,0.026266688821251473,0.7223874018287894,0.8553914806342062,0.09405588934560798,1.0,1.0,0.45120814233548284,0.3294361304115446,0.15394604625304512,0.8414099860552876,0.6399589873243066,2.0
Canada,Heilongjiang,0.045759069044933695,0.1844788222580294,0.715342897598073,0.09405588934560798,0.02403473083927957,1.0,0.6090047393364929,0.3294361304115446,0.15394604625304512,0.8414099860552876,0.4296706197096654,5.0
Malaysia,Heilongjiang,0.04969760818943898,0.22701839148099423,0.19447401089117503,0.09405588934560798,0.4166149605282221,1.0,0.1936912438815943,0.3294361304115446,0.15394604625304512,0.8414099860552876,0.5931242559590287,3.0
New Zealand,Heilongjiang,0.023364763047792194,0.698558815613975,0.6707981581553203,0.09405588934560798,0.20151535030351075,1.0,0.5444409913759614,0.3294361304115446,0.15394604625304512,0.8414099860552876,0.4851865668081417,5.0
Germany,Heilongjiang,0.3716060939957856,0.6910165093546327,0.6720932483747688,0.09405588934560798,0.5352983245413203,1.0,0.7826120736539508,0.3294361304115446,0.15394604625304512,0.8414099860552876,0.43802909069318013,1.0
Spain,Heilongjiang,0.13515824233165538,0.44058300899698805,0.5009216448720594,0.09405588934560798,0.4122502638927435,1.0,0.7042576334395152,0.3294361304115446,0.15394604625304512,0.8414099860552876,0.3757325697952989,1.0
Denmark,Heilongjiang,0.033082027292232634,0.8718916857028111,0.7829128821633269,0.09405588934560798,0.46255519373399206,1.0,0.7136197653639966,0.3294361304115446,0.15394604625304512,0.8414099860552876,0.25212168485659825,3.0
Russia,Heilongjiang,0.2253507500698808,0.241415466312915,0.27930243231340424,0.09405588934560798,0.11260396323511401,1.0,0.5,0.3294361304115446,0.15394604625304512,0.8414099860552876,0.6914100416752872,1.0
Netherlands,Heilongjiang,0.0833712622802851,0.7358800302986002,0.7216199268805097,0.09405588934560798,0.6362346517280622,1.0,0.6787351410146842,0.3294361304115446,0.15394604625304512,0.8414099860552876,0.34663747477695156,1.0
Switzerland,Heilongjiang,0.04283613528021049,0.7597837640993074,0.8917438555862842,0.09405588934560798,0.521962166459117,1.0,0.6654106130059825,0.3294361304115446,0.15394604625304512,0.8414099860552876,0.26982413142468037,1.0
Croatia,Heilongjiang,0.01242748847221525,0.47802871427041344,0.34159193076888705,0.09405588934560798,0.3816737092513709,1.0,0.7154455753243727,0.3294361304115446,0.15394604625304512,0.8414099860552876,0.10997764313969534,1.0
South Korea,Anhui,0.33423175607983885,1.0,0.5331698099170349,0.35888384300479775,0.6411953971888407,0.37659574468085105,0.4897443866055473,0.626336183858899,0.8300908831103642,0.7501674778496594,0.6287193897270326,3.0
USA,Anhui,1.0,0.45827439098658695,0.8278612353336526,0.35888384300479775,0.28705165370378527,0.37659574468085105,0.547976070235413,0.626336183858899,0.8300908831103642,0.7501674778496594,0.4610100194332217,3.0
Australia,Anhui,0.11281820133909944,0.6681393654073763,0.769957611499269,0.35888384300479775,0.0,0.37659574468085105,0.5515111490948644,0.626336183858899,0.8300908831103642,0.7501674778496594,0.5338910773750272,1.0
