,Dep Country Name,arr_prov,Total Est. Pax
2492,Nigeria,Beijing,7416
2449,New Zealand,Fujian,7368
1195,Germany,Hunan,7305
2903,Russia,Jilin,7275
2070,Malaysia,Heilongjiang,7166
2406,Nepal,Yunnan,7139
144,Australia,Xinjiang,7110
1218,Ghana,Guangdong,7059
1779,Kuwait,Beijing,6978
3706,United Arab Emirates,Ningxia,6976
693,Congo Democratic Republic of,Guangdong,6950
2889,Russia,Chongqing,6937
257,Bangladesh,Jiangsu,6932
2000,Macao (sar) China,Guizhou,6929
1678,Japan,Neimenggu,6905
133,Australia,Jilin,6881
2638,Pakistan,Sichuan,6833
1749,Kenya,Beijing,6773
1889,Lebanon,Guangdong,6721
3656,USA,Yunnan,6580
79,Argentina,Fujian,6565
1772,Kenya,Sichuan,6564
3698,United Arab Emirates,Henan,6556
3704,United Arab Emirates,Liaoning,6533
2762,Poland,Guangdong,6518
2747,Philippines,Shaanxi,6516
544,Cambodia,Liaoning,6436
1248,Greece,Guangdong,6368
3849,Zambia,Guangdong,6332
322,Belgium,Hainan,6308
3070,Singapore,Anhui,6301
1358,Hong Kong,Guangxi,6296
2022,Macao (sar) China,Yunnan,6272
3019,Serbia,Guangdong,6261
141,Australia,Shanxi,6237
527,Cambodia,Anhui,6233
53,Angola,Beijing,6203
1365,Hong Kong,Hunan,6196
2904,Russia,Liaoning,6196
3661,Uganda,Guangdong,6189
3594,Turkey,Zhejiang,6180
2642,Pakistan,Zhejiang,6150
3729,United Kingdom,Henan,6141
3287,Sri Lanka,Yunnan,6097
3643,USA,Jilin,6058
3406,Taiwan,Ningxia,6035
3812,Vietnam,Hebei,5993
2060,Malaysia,Anhui,5972
1073,Finland,Sichuan,5900
124,Australia,Guizhou,5857
3448,Tanzania United Republic of,Beijing,5855
1198,Germany,Jilin,5842
529,Cambodia,Chongqing,5834
1770,Kenya,Shanghai,5828
2901,Russia,Jiangsu,5815
1628,Italy,Liaoning,5811
1158,Georgia,Guangdong,5772
807,Czech Republic,Beijing,5758
663,Colombia,Shanghai,5744
1716,Jordan,Zhejiang,5699
46,Algeria,Shanghai,5671
2537,Northern Mariana Islands,Guangdong,5671
265,Bangladesh,Shandong,5660
3249,Spain,Shandong,5659
2460,New Zealand,Jiangsu,5605
2010,Macao (sar) China,Liaoning,5585
2433,Netherlands,Sichuan,5566
1664,Japan,Gansu,5545
2476,New Zealand,Zhejiang,5536
2720,Peru,Shanghai,5531
1476,Indonesia,Heilongjiang,5513
2197,Mexico,Guangdong,5486
2398,Nepal,Shaanxi,5453
1834,Laos,Beijing,5436
90,Argentina,Shanghai,5418
1100,France,Shandong,5377
592,Canada,Jiangsu,5368
1179,Georgia,Xinjiang,5362
642,Chile,Shanghai,5302
437,Brazil,Zhejiang,5301
2475,New Zealand,Yunnan,5293
1560,Ireland,Guangdong,5240
3094,Singapore,Shanxi,5237
2998,Senegal,Guangdong,5230
183,Azerbaijan,Guangdong,5199
3465,Tanzania United Republic of,Shanghai,5174
1431,Iceland,Shanghai,5152
2076,Malaysia,Jilin,5132
1637,Italy,Tianjin,5126
3097,Singapore,Xinjiang,5109
3819,Vietnam,Jilin,5103
3653,USA,Tianjin,5064
3088,Singapore,Neimenggu,5053
2345,Myanmar,Shandong,4987
2407,Nepal,Zhejiang,4981
2344,Myanmar,Shaanxi,4973
1388,Hungary,Guangdong,4959
1052,Finland,Beijing,4946
1633,Italy,Shandong,4936
3633,USA,Guangxi,4902
2703,Peru,Beijing,4896
1839,Laos,Guangxi,4884
1862,Laos,Zhejiang,4872
1194,Germany,Hubei,4832
1356,Hong Kong,Gansu,4828
2846,Qatar,Shanghai,4822
3077,Singapore,Guizhou,4805
2400,Nepal,Shanghai,4784
1095,France,Liaoning,4771
590,Canada,Hubei,4767
2116,Maldives,Sichuan,4700
3810,Vietnam,Guizhou,4630
1623,Italy,Hubei,4613
2467,New Zealand,Shaanxi,4567
1524,Iran Islamic Republic of,Xinjiang,4561
1385,Hungary,Chongqing,4521
334,Belgium,Shaanxi,4507
2186,Mauritius,Shanghai,4500
2458,New Zealand,Hubei,4489
728,Cote D'Ivoire,Guangdong,4487
3869,Zimbabwe,Beijing,4485
3845,Zambia,Beijing,4472
342,Belgium,Zhejiang,4418
1317,Guinea,Guangdong,4416
560,Cameroon,Guangdong,4412
3785,Uzbekistan,Zhejiang,4410
1841,Laos,Hainan,4386
464,Brunei,Zhejiang,4385
3807,Vietnam,Gansu,4384
2550,Northern Mariana Islands,Shanghai,4383
1370,Hong Kong,Neimenggu,4354
1558,Ireland,Fujian,4347
2119,Maldives,Yunnan,4341
2664,Panama,Guangdong,4332
3244,Spain,Liaoning,4326
1458,India,Shandong,4277
2084,Malaysia,Shanxi,4268
179,Azerbaijan,Beijing,4245
1090,France,Hubei,4228
51,Algeria,Zhejiang,4214
2194,Mexico,Beijing,4198
2899,Russia,Hubei,4188
3074,Singapore,Gansu,4171
3747,United Kingdom,Yunnan,4138
840,Denmark,Guangdong,4120
589,Canada,Henan,4110
1692,Jordan,Beijing,4082
3779,Uzbekistan,Shanghai,4082
2793,Portugal,Guangdong,4057
56,Angola,Guangdong,4030
2310,Mozambique,Guangdong,4020
3873,Zimbabwe,Guangdong,4006
117,Australia,Anhui,3993
3863,Zambia,Shanghai,3971
3202,South Korea,Shanxi,3931
608,Canada,Zhejiang,3929
2923,Rwanda,Guangdong,3923
3241,Spain,Jiangsu,3921
536,Cambodia,Hebei,3916
135,Australia,Neimenggu,3914
2634,Pakistan,Shaanxi,3912
3491,Thailand,Ningxia,3903
2457,New Zealand,Henan,3900
3691,United Arab Emirates,Gansu,3883
2900,Russia,Hunan,3878
2325,Myanmar,Chongqing,3874
2861,Romania,Beijing,3874
97,Armenia,Beijing,3872
2472,New Zealand,Tianjin,3861
1740,Kazakhstan,Shanghai,3859
3196,South Korea,Neimenggu,3850
3823,Vietnam,Qinghai,3842
3724,United Kingdom,Guangxi,3829
3299,Sudan,Guangdong,3822
725,Cote D'Ivoire,Beijing,3802
1092,France,Jiangsu,3797
534,Cambodia,Guizhou,3786
1203,Germany,Shaanxi,3744
1080,France,Chongqing,3740
2087,Malaysia,Xinjiang,3734
1313,Guinea,Beijing,3700
3658,Uganda,Beijing,3693
3568,Turkey,Fujian,3688
2336,Myanmar,Hunan,3684
1439,India,Fujian,3673
2348,Myanmar,Sichuan,3643
2852,Qatar,Zhejiang,3619
620,Chad,Beijing,3613
1710,Jordan,Shanghai,3601
2736,Philippines,Heilongjiang,3583
1461,India,Sichuan,3582
3547,Tunisia,Guangdong,3580
1107,France,Yunnan,3562
543,Cambodia,Jilin,3556
1270,Greece,Zhejiang,3541
3822,Vietnam,Ningxia,3525
2067,Malaysia,Guizhou,3520
177,Austria,Zhejiang,3510
2969,Saudi Arabia,Gansu,3508
3378,Switzerland,Sichuan,3499
2905,Russia,Neimenggu,3485
2173,Mauritius,Guangdong,3475
599,Canada,Shaanxi,3475
1175,Georgia,Shanghai,3460
2003,Macao (sar) China,Heilongjiang,3457
77,Argentina,Beijing,3449
3700,United Arab Emirates,Hunan,3432
2462,New Zealand,Jilin,3428
1214,Ghana,Beijing,3400
483,Bulgaria,Shanghai,3398
236,Bahrain,Shanghai,3386
1466,Indonesia,Anhui,3363
3327,Sweden,Guangdong,3358
763,Croatia,Shanghai,3333
3182,South Korea,Gansu,3329
1679,Japan,Ningxia,3300
68,Angola,Shanghai,3298
2994,Saudi Arabia,Zhejiang,3293
1622,Italy,Henan,3291
3635,USA,Hainan,3265
1099,France,Shaanxi,3226
2783,Poland,Tianjin,3217
1056,Finland,Guangdong,3206
1415,Iceland,Beijing,3202
2009,Macao (sar) China,Jilin,3200
2459,New Zealand,Hunan,3189
2742,Philippines,Jilin,3172
1490,Indonesia,Shanxi,3168
2898,Russia,Henan,3167
907,Ecuador,Shanghai,3153
2256,Mongolia,Shanghai,3153
1632,Italy,Shaanxi,3142
